experiment,config,n_features,classifier,recall,precision,f1
3,drop_engagement,55,DNN,0.8536585365853658,0.625,0.7216494845360825
3,drop_engagement,55,DT,0.14634146341463414,0.3333333333333333,0.2033898305084746
3,drop_temporal,59,NB,0.926829268292683,0.5507246376811594,0.6909090909090909
3,drop_temporal,59,RF,0.07317073170731707,0.2727272727272727,0.11538461538461539
3,drop_temporal,59,SVM,0.8536585365853658,0.603448275862069,0.7070707070707071
3,drop_temporal,59,DNN,0.7804878048780488,0.5714285714285714,0.6597938144329897
3,drop_temporal,59,DT,0.024390243902439025,0.09090909090909091,0.038461538461538464
3,drop_coord_all,40,NB,0.24390243902439024,0.45454545454545453,0.31746031746031744
3,drop_coord_all,40,RF,0.7560975609756098,0.5740740740740741,0.6526315789473685
3,drop_coord_all,40,SVM,0.8048780487804879,0.55,0.6534653465346535
3,drop_coord_all,40,DNN,0.8780487804878049,0.5625,0.6857142857142857
3,drop_coord_all,40,DT,0.7804878048780488,0.5423728813559322,0.64
3,full,62,NB,0.926829268292683,0.5588235294117647,0.6972477064220184
3,full,62,RF,0.17073170731707318,0.4375,0.24561403508771928
3,full,62,SVM,0.12195121951219512,0.15151515151515152,0.13513513513513514
3,full,62,DNN,0.8536585365853658,0.6363636363636364,0.7291666666666666
3,full,62,DT,0.0975609756097561,0.3076923076923077,0.14814814814814814
