source,post_id,user_id,container_id,amp_prob_full,amp_prob_behavioral,is_sockpuppet,n_chars,n_words,n_emoji,n_punct,emoji_density,punct_density,is_short,is_long,is_emoji_heavy,max_token_repeat_ratio,has_repeated_chars,hour_of_day,day_of_week,is_late_night
tiktok,7071850238420058881,tiktok_6805488229355357185,7039505802012429594,0.1,0.1,,147,25,2,3,0.08,0.02040816326530612,0,0,0,0.04,0,5,6,1
tiktok,7069578428579775233,tiktok_6744264049841751042,7039505802012429594,0.2,0.2,,20,4,0,1,0.0,0.05,0,0,0,0.0,0,2,0,1
tiktok,7069607395487449858,tiktok_6596125075073155077,7039505802012429594,0.9,0.2,,9,1,3,0,1.0,0.0,0,0,0,0.0,0,4,0,1
tiktok,7065360557800948481,tiktok_6914473449382839297,7039505802012429594,0.2,0.2,,7,1,3,0,1.0,0.0,0,0,0,0.0,0,17,2,0
tiktok,7071975657156756226,tiktok_7040413577161098267,7039505802012429594,0.9,0.2,,9,2,0,0,0.0,0.0,0,0,0,0.0,0,13,6,0
tiktok,7071109373493560065,tiktok_6801318469054055425,7039505802012429594,0.15,0.15,,42,8,0,2,0.0,0.047619047619047616,0,0,0,0.125,0,5,4,1
tiktok,7064468383056233218,tiktok_7046773954053325825,7039505802012429594,0.9,0.2,,10,2,1,0,0.5,0.0,0,0,0,0.0,0,7,0,0
tiktok,7069257805601424130,tiktok_6917148784712893445,7039505802012429594,0.2,0.2,,19,4,0,0,0.0,0.0,0,0,0,0.0,0,5,6,1
tiktok,7063786032969335553,tiktok_7020001522022401026,7039505802012429594,0.15,0.15,,38,7,0,0,0.0,0.0,0,0,0,0.0,0,11,5,0
tiktok,7063651379520979714,tiktok_6814654888753103873,7039505802012429594,0.1,0.1,,92,19,2,0,0.10526315789473684,0.0,0,0,0,0.05263157894736842,0,2,5,1
tiktok,7072110869198979841,tiktok_6870230647945544709,7039505802012429594,0.67,0.67,,23,4,6,0,1.0,0.0,0,0,1,0.0,0,22,6,0
tiktok,7069560700351955713,tiktok_6838411098434814977,7039505802012429594,0.67,0.67,,13,1,4,0,1.0,0.0,0,0,1,0.0,0,1,0,1
tiktok,7065274451885720321,tiktok_7012226861984007174,7039505802012429594,0.2,0.2,,13,3,0,0,0.0,0.0,0,0,0,0.0,0,11,2,0
